"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"2606",608717,"Chris Stratton",2017,1040,0.08942,0.11545,-0.0247127471412762,315,0.27302,0.33426,-0.0242380842641203,509,0.6444,0.65668,-0.00969601577398269,-0.0392548156314138
"2607",608717,"Chris Stratton",2018,2431,0.08556,0.10904,-0.0285114680720547,807,0.24164,0.31337,-0.04208474115088,1228,0.66694,0.65908,0.00206519314699319,-0.0726614023699279
"2608",608717,"Chris Stratton",2019,1245,0.10763,0.12044,-0.0135297946391782,366,0.22951,0.28151,-0.0181794753593449,600,0.69167,0.66117,0.017946434443512,-0.0496557044420351
"2609",608718,"Brent Suter",2016,347,0.08357,0.09546,-0.00831552299966592,135,0.28889,0.25966,0.0213753578553639,182,0.67033,0.6609,0.0000364016908148831,0.0130234331648831
"2610",608718,"Brent Suter",2017,1282,0.09282,0.10741,-0.0141707052934244,456,0.30263,0.30796,-0.00414359101131974,661,0.6475,0.67504,-0.0313622981035905,0.0130480017988465
"2611",608718,"Brent Suter",2018,1624,0.09852,0.1138,-0.0168917877541505,627,0.32855,0.32366,0.00553928986729594,815,0.65031,0.67738,-0.0279641090001185,0.0166116111132639
"2612",608718,"Brent Suter",2019,227,0.14097,0.104,0.0227310226015766,87,0.33333,0.26978,0.0304716630573817,118,0.71186,0.69018,0.00463798491846814,0.0485647007404901
"2613",608723,"Austin Voth",2018,216,0.0787,0.11159,-0.0213198694111893,57,0.26316,0.33627,-0.0106402459734942,112,0.61607,0.63981,-0.00801926082997102,-0.0239408545547124
"2614",608723,"Austin Voth",2019,683,0.12884,0.11454,0.00313666179712703,189,0.26984,0.3458,-0.0423104961875513,346,0.65607,0.65409,-0.0119169926634346,-0.0272568417269896
"2615",611093,"Silvino Bracho",2015,215,0.15349,0.08826,0.0312031620766182,74,0.32432,0.26767,0.0233752509963698,111,0.71171,0.69842,-0.00512795436320402,0.059706367436192
"2616",611093,"Silvino Bracho",2016,462,0.09957,0.10528,-0.00601667252244957,154,0.24675,0.28281,-0.0233925859424983,242,0.69835,0.66532,0.0144825498039553,-0.0438918082689031
