"","pitcher","player_name","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score"
"421",521230,"Liam Hendriks",5042,0.12951,0.11382,0.0162508223782885,1309,0.3285,0.31475,0.0214763216344666,2584,0.69814,0.67584,0.0151179401892702,0.0226092038234849
"422",521655,"Wilmer Font",2415,0.11222,0.10727,0.00466947617156881,811,0.31936,0.30392,0.0240299213698067,1205,0.69378,0.68755,-0.004333862643142,0.0330332601845175
"423",523260,"Joe Kelly",6198,0.0939,0.10841,-0.0123846608779992,1870,0.29733,0.29339,0.00522166156197255,3054,0.61264,0.65016,-0.0449053816123082,0.0377423822962815
"424",523848,"Jose Dominguez",669,0.07773,0.08574,-0.00167437058541607,247,0.2834,0.24916,0.0286986028393107,315,0.67937,0.65018,0.0188517655451866,0.00817246670870805
"425",523989,"Rubby De La Rosa",3937,0.11328,0.10371,0.00809367008268609,1316,0.30547,0.29795,0.0178619811321132,1922,0.65921,0.65642,-0.00806661131371237,0.0340222625285117
"426",525768,"Tim Collins",531,0.10358,0.09996,0.00364906142869399,253,0.29644,0.24873,0.0413570801650852,241,0.65975,0.65496,-0.000736068929972369,0.0457422105237516
"427",527048,"Martin Perez",11494,0.08056,0.10283,-0.0213858689743959,3872,0.27738,0.29803,-0.0198966894031525,5380,0.65725,0.62754,0.0172951194930297,-0.0585776778705781
"428",527054,"Julio Teheran",14924,0.10265,0.10992,-0.00777702257683634,4876,0.26846,0.28924,-0.0119846744514541,7010,0.66648,0.65737,0.00429913477403008,-0.0240608318023205
"429",527055,"Arodys Vizcaino",2827,0.13866,0.10017,0.0367455216976707,926,0.26674,0.26891,0.00575073807275559,1351,0.66987,0.64259,0.011361110633802,0.0311351491366243
"430",532077,"Roberto Osuna",4659,0.15733,0.10466,0.0521634547639331,1318,0.34143,0.30282,0.0415142834290831,2274,0.72427,0.67197,0.0428230637609596,0.0508546744320566
"431",533167,"Matt Shoemaker",6598,0.11458,0.11504,0.00140637653287232,2168,0.32334,0.3065,0.0217491886444465,3170,0.68297,0.66413,0.00701073837363852,0.0161448268036803
"432",534737,"Pat Dean",1158,0.06218,0.09236,-0.0221744419236266,496,0.31855,0.29819,0.0123823651722585,536,0.64925,0.60973,0.0184398493574654,-0.0282319261088335
"433",534812,"Kevin Quackenbush",2748,0.08224,0.11142,-0.0267142775358259,887,0.26607,0.29331,-0.023186153260874,1328,0.64157,0.66272,-0.0304181567662842,-0.0194822740304156
"434",534910,"Jesse Hahn",3488,0.07225,0.0937,-0.0204588612695138,1146,0.32635,0.28971,0.0334624164831754,1679,0.64086,0.65616,-0.025952107880556,0.0389556630942175
"435",534947,"Tim Adleman",3113,0.10247,0.10581,-0.00672453049116166,975,0.30872,0.30829,0.00917049131260511,1589,0.67967,0.67277,-0.000275658443669151,0.0027216192651126
"436",541640,"Erasmo Ramirez",6514,0.10086,0.10256,0.00332827591385287,1889,0.38433,0.34312,0.045019482941311,3225,0.68031,0.65923,0.0124854266404652,0.0358623322146986
"437",541650,"Hernan Perez",130,0.04615,0.07038,-0.00891934561583478,58,0.2069,0.21745,0.00845573003187115,51,0.72549,0.66458,0.0131514651783088,-0.0136150807622725
"438",541652,"Bruce Rondon",2080,0.13365,0.10789,0.0269746684330571,682,0.25806,0.26677,-0.00803952132210759,1004,0.66335,0.65054,0.000201860437797961,0.0187332866731516
"439",542194,"Christian Bethancourt",150,0.03333,0.08323,-0.0198243772937123,74,0.2027,0.23583,-0.0105873058463526,65,0.61538,0.60154,0.00487346001945516,-0.03528514315952
"440",542266,"Carlos Contreras",513,0.10721,0.08614,0.0177193949469651,186,0.17204,0.22924,-0.0350597184197733,235,0.70213,0.67547,0.0114253009535272,-0.0287656244263355
"441",542432,"Jose Ramirez",1955,0.11304,0.10077,0.0142468726536552,689,0.28012,0.29615,-0.0131497206031602,932,0.68455,0.665,0.00963887171584465,-0.00854171966534958
"442",542585,"Jose Cisnero",646,0.12539,0.11099,0.00720412392306942,179,0.30726,0.33233,-0.00816854880847625,326,0.69325,0.66922,0.00804114074664387,-0.00900556563205069
"443",542587,"Elvis Araujo",1159,0.11303,0.1021,0.0120093372752371,480,0.26458,0.27163,-0.00775163763565033,557,0.64632,0.65322,-0.0163166273432966,0.0205743269828834
"444",542609,"Enrique Burgos",1248,0.12901,0.10214,0.0224285319797328,383,0.20366,0.24325,-0.0259334061060093,599,0.66277,0.62943,0.00631164324683536,-0.00981651737311191
"445",542669,"Roman Mendez",234,0.07692,0.09386,-0.0050812823185125,86,0.16279,0.22913,-0.0158987887580745,115,0.6087,0.63822,-0.00893031453667865,-0.0120497565399084
"446",542674,"Gonzalez Germen",1449,0.11939,0.10932,0.00950260392040002,546,0.28388,0.27868,0.00440853106787564,622,0.6865,0.66881,0.00723000985803178,0.00668112513024388
"447",542866,"Austin Adams",1160,0.11121,0.10284,0.00869798666626775,409,0.29584,0.27782,0.0140926644029348,587,0.68143,0.64981,0.0131437850373284,0.00964686603187406
"448",542881,"Tyler Anderson",6460,0.11362,0.09984,0.0098105751980023,2200,0.28364,0.28662,-0.00214417071944474,3414,0.68307,0.66805,0.00701767807175952,0.000648726406798052
"449",542882,"Matt Andriese",7049,0.10484,0.11185,-0.00362236783377388,2245,0.31626,0.31764,0.00207279957326203,3555,0.66188,0.66193,-0.00900867557585873,0.00745910731534688
"450",542888,"Shawn Armstrong",2097,0.11731,0.08611,0.0275993504248803,620,0.24677,0.29627,-0.0285557835001705,1085,0.73733,0.68417,0.0310838454858847,-0.0320402785611749
"451",542914,"Anthony Bass",2118,0.09396,0.10813,-0.00870983523229691,609,0.27094,0.30448,-0.0169763745366937,988,0.62753,0.64574,-0.0167536451909753,-0.00893256457801523
"452",542923,"Dallas Beeler",171,0.05848,0.07212,-0.00574200610101528,73,0.24658,0.25468,0.00628870482141791,67,0.62687,0.61419,0.00168115480553793,-0.0011344560851353
"453",542924,"Jeff Beliveau",476,0.07773,0.09459,-0.00866816735351025,188,0.26596,0.27724,-0.00593530251790263,242,0.64463,0.68432,-0.0235752558299045,0.0089717859584916
"454",542947,"Richard Bleier",2468,0.08793,0.07882,0.0103355480164536,848,0.30307,0.25185,0.0555775595184897,1318,0.71472,0.64161,0.0502766318952867,0.0156364756396565
"455",542953,"Buddy Boshers",1486,0.107,0.11349,-0.0041887901409666,550,0.28727,0.31214,-0.0120813692204383,728,0.62225,0.62581,-0.0104213701281172,-0.00584878923328763
"456",542960,"Brad Brach",5933,0.13079,0.11356,0.020813811046149,2008,0.37052,0.32448,0.0534563959181692,2677,0.6907,0.67364,0.0067703840439103,0.067499822920408
