"Name","Team","K%","BB%","SwStr%","playerid"
"Devin Smeltzer","Twins","18.8 %","5.9 %","9.2 %","19487"
"Justin Shafer","Blue Jays","21.4 %","13.7 %","12.2 %","16132"
"Heath Hembree","Red Sox","26.6 %","10.4 %","11.6 %","11632"
"Aaron Nola","Phillies","26.9 %","9.4 %","11.0 %","16149"
"Sandy Alcantara","Marlins","18.0 %","9.7 %","10.9 %","18684"
"Brett Anderson","Athletics","12.1 %","6.6 %","7.7 %","8223"
"Anthony DeSclafani","Reds","24.0 %","7.0 %","10.1 %","13050"
"Jerry Blevins","Braves","26.2 %","11.4 %","11.1 %","7841"
"Mike Fiers","Athletics","16.7 %","7.0 %","7.9 %","7754"
"Madison Bumgarner","Giants","24.1 %","5.1 %","11.6 %","5524"
"Tanner Rainey","Nationals","34.6 %","17.8 %","16.9 %","17610"
"Austin Adams","- - -","40.8 %","12.3 %","16.6 %","13801"
"Jose Urquidy","Astros","24.0 %","4.2 %","12.0 %","18413"
"Roenis Elias","- - -","21.8 %","8.3 %","11.6 %","12673"
"Zack Wheeler","Mets","23.6 %","6.0 %","10.5 %","10310"
"Ryne Stanek","- - -","27.2 %","11.9 %","15.4 %","15947"
"Yu Darvish","Cubs","31.3 %","7.7 %","13.4 %","13074"
"Wade Miley","Astros","19.4 %","8.5 %","9.3 %","8779"
"Ty Buttrey","Angels","27.2 %","7.4 %","11.9 %","14719"
"Oliver Perez","Indians","27.8 %","6.9 %","13.2 %","1514"
"Marco Gonzales","Mariners","17.0 %","6.5 %","7.9 %","15467"
"Noe Ramirez","Angels","28.2 %","7.1 %","13.6 %","12800"
"Michael Feliz","Pirates","30.5 %","11.3 %","12.6 %","11903"
"Luis Perdomo","Padres","18.6 %","6.1 %","8.6 %","14682"
"Michael Pineda","Twins","23.3 %","4.7 %","12.5 %","5372"
"Max Fried","Braves","24.6 %","6.7 %","11.5 %","13743"
"Domingo German","Yankees","25.8 %","6.6 %","13.0 %","17149"
"Jared Hughes","- - -","18.7 %","9.3 %","9.6 %","9325"
"Kenta Maeda","Dodgers","27.1 %","8.2 %","14.6 %","18498"
"Sean Doolittle","Nationals","25.4 %","5.8 %","12.2 %","1581"
"Trevor Richards","- - -","21.9 %","9.7 %","11.8 %","19309"
"Chaz Roe","Rays","28.4 %","13.5 %","9.7 %","9866"
"Alex Claudio","Brewers","16.5 %","9.0 %","10.6 %","12890"
"Cory Gearrin","- - -","19.5 %","10.4 %","8.1 %","7947"
"Nick Ramirez","Tigers","21.3 %","10.1 %","12.6 %","12575"
"Dinelson Lamet","Padres","33.6 %","9.6 %","14.0 %","17186"
"Matt Magill","- - -","28.0 %","8.7 %","14.5 %","3950"
"Jameson Taillon","Pirates","19.0 %","5.1 %","11.9 %","11674"
"Luis Cessa","Yankees","21.9 %","9.0 %","12.7 %","13345"
"Colten Brewer","Red Sox","20.6 %","13.4 %","11.3 %","12997"
"Brad Peacock","Astros","25.1 %","8.1 %","8.9 %","5401"
"Ryan Yarbrough","Rays","20.8 %","3.6 %","10.2 %","16502"
"Zach Eflin","Phillies","18.3 %","6.8 %","9.0 %","13774"
"Jordan Lyles","- - -","24.4 %","9.2 %","10.1 %","7593"
"Miles Mikolas","Cardinals","18.9 %","4.2 %","9.6 %","9803"
"Raisel Iglesias","Reds","31.9 %","7.5 %","15.5 %","17130"
"Tony Watson","Giants","17.8 %","5.2 %","12.8 %","3132"
"Andrew Kittredge","Rays","27.6 %","5.7 %","15.9 %","12828"
"Chad Green","Yankees","33.2 %","6.4 %","13.7 %","15552"
"Joey Lucchesi","Padres","23.0 %","8.2 %","10.3 %","19320"
"Brad Keller","Royals","17.2 %","9.9 %","8.3 %","15734"
"Adam Wainwright","Cardinals","20.5 %","8.6 %","7.5 %","2233"
"Chase Anderson","Brewers","21.0 %","8.5 %","10.9 %","6895"
"Steven Matz","Mets","22.1 %","7.5 %","9.7 %","13361"
"Scott Barlow","Royals","29.7 %","11.9 %","14.4 %","14993"
"Dylan Floro","Dodgers","20.9 %","7.0 %","12.5 %","13394"
"Sean Reid-Foley","Blue Jays","18.7 %","14.0 %","9.8 %","17034"
"David Price","Red Sox","28.0 %","7.0 %","11.2 %","3184"
"Noah Syndergaard","Mets","24.5 %","6.1 %","12.5 %","11762"
"Blake Snell","Rays","33.3 %","9.1 %","17.7 %","13543"
"Tyler Skaggs","Angels","23.3 %","8.4 %","9.2 %","10190"
"Mike Leake","- - -","15.2 %","3.2 %","8.1 %","10130"
"Joakim Soria","Athletics","28.4 %","7.2 %","13.2 %","6941"
"Jalen Beeks","Rays","19.2 %","8.6 %","9.6 %","17192"
"Jose Leclerc","Rangers","33.4 %","13.0 %","13.5 %","14524"
"Jose Cisnero","Tigers","24.7 %","11.7 %","12.5 %","6399"
"Robbie Ray","Diamondbacks","31.5 %","11.2 %","13.6 %","11486"
"Danny Duffy","Royals","20.7 %","8.3 %","10.3 %","3542"
"Tanner Roark","- - -","21.9 %","7.1 %","8.5 %","8753"
"Jake McGee","Rockies","19.4 %","6.1 %","8.7 %","7550"
"Luis Garcia","Angels","20.5 %","11.9 %","12.4 %","6984"
"Joe Jimenez","Tigers","31.9 %","9.0 %","14.9 %","15761"
"Jacob Waguespack","Blue Jays","18.8 %","8.7 %","9.5 %","18318"
"Chris Sale","Red Sox","35.6 %","6.1 %","14.2 %","10603"
"Tyler Olson","Indians","20.0 %","11.4 %","10.7 %","14741"
"Austin Pruitt","Rays","20.2 %","6.2 %","11.1 %","15290"
"Merrill Kelly","Diamondbacks","20.3 %","7.3 %","9.8 %","11156"
"Jon Duplantier","Diamondbacks","20.9 %","11.0 %","8.4 %","19546"
"Nick Vincent","- - -","24.2 %","6.2 %","11.2 %","7555"
"Joe Musgrove","Pirates","21.9 %","5.4 %","12.0 %","12970"
"Trevor Gott","Giants","26.6 %","7.9 %","10.8 %","15046"
"Andrew Miller","Cardinals","29.7 %","11.4 %","13.2 %","6785"
"Adam Cimber","Indians","16.8 %","7.8 %","9.7 %","15288"
"Eric Lauer","Padres","21.2 %","7.8 %","8.3 %","19316"
"Masahiro Tanaka","Yankees","19.6 %","5.3 %","10.7 %","15764"
"Jay Jackson","Brewers","35.6 %","13.6 %","17.9 %","7432"
"Darwinzon Hernandez","Red Sox","38.8 %","17.7 %","13.8 %","19848"
"Jon Lester","Cubs","21.6 %","6.8 %","9.0 %","4930"
"Jeff Brigham","Marlins","24.2 %","8.7 %","11.6 %","16631"
"Jordan Yamamoto","Marlins","25.2 %","11.1 %","9.2 %","17585"
"Blaine Hardy","Tigers","15.9 %","7.1 %","10.2 %","6499"
"Kevin McCarthy","Royals","14.2 %","7.8 %","9.8 %","15240"
"Trevor Bauer","- - -","27.8 %","9.0 %","12.2 %","12703"
"Wilmer Font","- - -","26.7 %","8.2 %","11.9 %","5257"
"Daniel Norris","Tigers","20.5 %","6.2 %","10.3 %","13475"
"Erick Fedde","Nationals","12.3 %","9.9 %","7.1 %","17425"
"Jason Vargas","- - -","19.1 %","9.7 %","9.7 %","8044"
"Caleb Smith","Marlins","26.0 %","9.3 %","12.7 %","14875"
"Jairo Diaz","Rockies","25.7 %","7.8 %","14.3 %","12774"
"Mike Foltynewicz","Braves","21.4 %","7.5 %","10.5 %","10811"
"Greg Holland","Diamondbacks","27.0 %","15.8 %","12.0 %","7196"
"Wander Suero","Nationals","27.4 %","8.8 %","13.6 %","15855"
"Jonathan Loaisiga","Yankees","26.6 %","11.5 %","14.2 %","19753"
"Blake Parker","- - -","25.5 %","8.6 %","11.4 %","5224"
"Anthony Swarzak","- - -","22.2 %","11.5 %","11.9 %","7466"
"Joe Kelly","Dodgers","27.4 %","9.7 %","10.1 %","9761"
