"","pitcher","player_name","Season","Pitches","Whiff","xWhiff","In_Whiff","OOZ.Pitches","OOZ.Swing","OOZ.xSwing","OOZ","IZ.Pitches","IZ.Swing","IZ.xSwing","IZ","Score","command"
"1018",605483,"Blake Snell",2016,1716,0.10897,0.11923,-0.00382391377399834,730,0.26027,0.29622,-0.0344492271848404,815,0.59755,0.66875,-0.0525122968075553,0.0142391558487166,3.126
"1019",605483,"Blake Snell",2017,2225,0.10787,0.12131,-0.0104485863349579,896,0.28683,0.29077,-0.00406090165726162,953,0.64428,0.6558,-0.015704324135982,0.0011948361437625,3.147
"1020",605483,"Blake Snell",2018,2913,0.1507,0.12256,0.0273258813562154,1154,0.31456,0.30217,0.0180070539200578,1289,0.63615,0.67011,-0.0396631230003127,0.0849960582765859,3.176
"1021",605483,"Blake Snell",2019,1947,0.18028,0.13761,0.0343600964855099,780,0.36026,0.31813,0.0435266474144774,866,0.65358,0.67537,-0.0213967003766887,0.099283444276676,3.366
"1022",605498,"Andrew Suarez",2018,2482,0.07454,0.10753,-0.0338642078544824,878,0.2574,0.29427,-0.0225303504877386,1230,0.64797,0.63187,0.00180963083198524,-0.0582041891742062,3.064
"1023",605513,"Spencer Turnbull",2019,2564,0.10647,0.10585,-0.00244148805027103,671,0.24888,0.2812,-0.00930535521416977,1200,0.685,0.6555,0.0124444720669833,-0.0241913153314241,2.968
"1024",605538,"Matt Wisler",2015,1734,0.08016,0.10565,-0.021711114066942,604,0.27649,0.28036,-0.00683148714056894,842,0.69596,0.66559,0.0192482158765005,-0.0477908170840115,2.947
"1025",605538,"Matt Wisler",2016,2437,0.09027,0.10792,-0.0151921027547361,747,0.24498,0.26625,-0.0176820933645983,1147,0.69137,0.64812,0.0392320451338765,-0.0721062412532109,2.947
"1026",605540,"Brandon Woodruff",2019,1921,0.11452,0.10983,0.00555412215747279,687,0.32314,0.32215,0.0192162040581461,969,0.7193,0.69172,0.0115418647266391,0.0132284614889797,3.09
"1027",605541,"Mike Wright",2016,1296,0.06327,0.09301,-0.0189182300919726,419,0.3222,0.27728,0.0339647189689267,635,0.67087,0.6734,-0.00104348339526472,0.0160899722722189,2.805
"1028",605541,"Mike Wright",2018,1565,0.07987,0.09703,-0.0165376152801394,440,0.31591,0.30136,0.0207448060916938,781,0.66069,0.63715,0.00577719158675942,-0.00157000077520502,2.981
