pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1955,453281,Wade LeBlanc,1955,100,0.291,0.243,0.309,0.534,0.364,0.344,0.282,145,498,84.2,17.3,1861,81.7,81.26,204,918,1033,-0.4,5.94,106,153,115,146,300,317,286
1945,468504,Jhoulys Chacin,1945,100,0.28,0.241,0.311,0.521,0.369,0.353,0.273,115,411,83.1,17.7,2165,84.4,83.2,171,824,1107,-1.2,5.42,111,157,116,152,298,319,295
1899,605156,Aaron Brooks,1899,100,0.271,0.222,0.29,0.493,0.352,0.345,0.27,118,436,85.1,14.1,2064,88.6,87.88,170,870,1015,-0.7,5.83,108,152,117,149,297,324,298
1892,668676,Zach Plesac,1892,100,0.237,0.2,0.257,0.437,0.318,0.347,0.279,102,430,84.2,18.3,1974,89.1,88.44,194,895,989,-0.7,5.8,110,152,115,150,290,313,291
1891,605483,Blake Snell,1891,100,0.241,0.15,0.343,0.391,0.304,0.264,0.205,96,399,83.5,20.3,2273,89.5,89.69,354,924,965,0.2,6.4,106,152,111,145,293,319,290
1888,592314,Mike Foltynewicz,1888,100,0.244,0.215,0.27,0.46,0.323,0.329,0.26,109,446,83.9,15.5,2259,89.9,89.66,216,918,964,-0.2,6.02,110,151,112,150,305,327,298
1866,519455,Jordan Zimmermann,1866,100,0.311,0.215,0.341,0.526,0.368,0.371,0.31,145,466,85.5,15.4,2278,86.9,86.62,177,869,986,-0.3,5.92,110,149,112,148,296,331,293
1864,572971,Dallas Keuchel,1864,100,0.265,0.161,0.303,0.426,0.331,0.332,0.268,115,434,84,3.7,1999,85.5,85.24,176,831,1003,-0.3,5.89,107,151,114,148,308,328,297
1862,456034,David Price,1862,100,0.258,0.182,0.336,0.441,0.323,0.308,0.245,109,422,82.4,16.9,2093,89,88.16,230,885,965,-0.8,5.84,107,149,115,149,288,323,287
1821,656222,Jalen Beeks,1821,100,0.281,0.154,0.329,0.435,0.34,0.34,0.274,115,409,83.2,14.3,2071,87,86.65,201,831,977,-0.3,6.1,106,155,112,146,291,322,296
